code,date,price,depr,cashpr,eps,cfp,ret
000402.SZ,20021231,19.09,722512.46,-4.826608954600388,1.26,1.3172,0.0433570717116523
000402.SZ,20030630,11.56,467799.73,0.013631089807078398,0.43,0.3017,-0.05306508024894867
000402.SZ,20031231,10.23,1153116.51,-2.168496971828328,0.7,0.0249,0.13143890389283028
000402.SZ,20040630,8.48,920447.42,1.0033764678239008,0.36,1.246,-0.10086931321432158
000402.SZ,20041231,10.06,2039400.4,-0.6332805110582589,0.84,3.3059,0.034381546199245445
000402.SZ,20050630,8.2,1237879.85,3.4497126876173736,0.06,0.055,0.09323915512548138
000402.SZ,20060630,8.2,1885643.0,-4.489433201005405,0.16399999999999998,0.3799,-0.1823215567939547
000402.SZ,20080630,7.35,29206750.97,-70.71284646463535,0.06,2.6613,-0.3088842801023839
000402.SZ,20081231,7.61,66681058.44,-9.484237460213864,0.43,2.0214,-0.05122758920667328
000402.SZ,20090630,13.76,35263778.6,3.2138221554388955,0.3,0.3899,0.3092304086579839
000402.SZ,20091231,12.13,69852483.88,-3.9137798145203218,0.55,2.374,-0.1253571011566214
000402.SZ,20100630,8.32,36592681.13,-2.732046282113258,0.2,-1.3943,0.012092045765028552
000402.SZ,20101231,6.61,69143834.69,-0.4739232658579486,0.59,0.2373,0.0
000402.SZ,20110630,7.47,32395860.84,0.533090274236544,0.42,-0.2557,0.05362109143909741
000402.SZ,20121231,6.75,98295320.33,-1.537578226697886,0.75,0.7090000000000001,0.16208329455296341
000402.SZ,20131231,5.23,124012255.95,-1.6317949649781585,0.96,-0.5307,-0.003816798526700742
000402.SZ,20140630,5.45,43911621.43,-13.836720396523235,0.12,-0.3339,-0.14175437180495462
000402.SZ,20141231,12.33,99261577.34,0.4265872737270765,0.97,-0.5728,0.5105553169661289
000402.SZ,20150630,14.13,47984627.82,-8.088311070399689,0.29,-0.0414,0.11064298152290682
000402.SZ,20151231,11.53,98019291.38,-7.936584034203332,0.75,-0.3342,0.20637257126283412
000402.SZ,20160630,9.72,51613336.6,-6.104739719794828,0.25,2.416,-0.027398974188114388
000402.SZ,20170630,11.72,49982860.03,1.912384344623932,0.36,0.0505,0.005990604137156973
000413.SZ,20011231,9.63,18132116.0,0.8341158218906434,0.10300000000000001,-0.0732,-0.0940822006201191
000413.SZ,20021231,7.17,17338324.0,-0.12518274700664558,0.076,0.1337,-0.14030754573506057
000413.SZ,20031231,4.39,20849045.0,0.1679336478226798,0.06,-0.1355,-0.1220765136497562
000413.SZ,20040630,5.86,9735381.0,-10.207841325989463,0.003,0.0894,-0.2821205607906347
000413.SZ,20041231,4.5,20357522.0,0.17085600315058735,0.07,0.0043,-0.1426563004015233
000413.SZ,20050630,3.47,8484535.0,17.272343481400537,0.0013,0.0295,-0.014306395651237858
000413.SZ,20060630,2.2,6460431.0,0.7044829305276223,-0.131,-0.0128,0.09531017980432493
000413.SZ,20080630,4.42,7682694.59,0.21400537448145573,0.0083,-0.024,-0.4159678303073137
000413.SZ,20081231,4.17,15312619.86,0.5622997348410572,0.01,0.0073,0.036634133179780384
000413.SZ,20090630,8.25,7641035.3,-0.08665416964579256,-0.0142,-0.0333,0.3184537311185346
000413.SZ,20091231,9.24,15190832.62,-0.02569992131440057,-0.08,-0.033,-0.04445176257083381
000413.SZ,20100630,8.68,7746617.49,-0.056410500645688075,-0.03,-0.0059,-0.07435481462833683
000413.SZ,20101231,14.06,15108202.75,1.4848435108737172,0.004,0.0139,0.133734624004147
000413.SZ,20110630,12.94,7313561.83,0.029651969555567623,-0.026000000000000002,-0.0244,-0.0030864222031895027
000413.SZ,20121231,11.98,11461342.33,-5.2770196280568085,0.37,0.2478,0.11019503604469627
000413.SZ,20131231,16.93,9899598.82,-16.515657696519938,0.51,2.6071,-0.11060368652532218
000413.SZ,20140630,7.5,14630809.29,-1.1543082907133857,0.15,-0.298,-0.07201053597627227
000413.SZ,20150630,9.78,71282912.07,-0.6934686783484374,0.16,0.5529999999999999,-0.2714466945808191
000413.SZ,20151231,9.08,339608348.67,-2.5153615693782423,0.48,2.2464,-0.12800956744021474
000413.SZ,20160630,8.59,228573241.42,-3.0428600665996184,0.14,0.9843,0.08120753016982948
000413.SZ,20170630,11.22,326044525.18,2.296755120538644,0.13,-0.6299,0.09825569003408169
000413.SZ,20170630,11.22,326044525.18,-3.943451089854415,0.13,-0.6299,0.09825569003408169
000415.SZ,20011231,9.21,6454679.83,-0.08657794534367133,0.124,0.3845,-0.10503472969631954
000415.SZ,20021231,6.93,9997575.37,214.8792708089801,0.006,-0.2227,-0.07503518594291408
000415.SZ,20030630,5.78,6084418.8,5.324125833808572,-0.033,0.1775,-0.13266596634809366
000415.SZ,20031231,4.5,18640063.87,-0.5914241076739382,-0.3617,-0.0599,0.008928630744301398
000415.SZ,20040630,4.3,20396033.93,-6.739756366004825,0.036000000000000004,0.0593,-0.18811867447828068
000415.SZ,20041231,3.61,34174835.72,-25.07943275497961,0.040999999999999995,0.0002,-0.1608554968990769
000415.SZ,20050630,3.59,7973199.7,9.033136360313328,0.006,-0.1304,0.09336221759102542
000415.SZ,20060331,3.31,3961181.56,-0.7384011930475691,-0.0489,-0.1482,0.04954573655142988
000415.SZ,20060630,3.11,7895602.03,-1.075320559367221,-0.076,-0.0395,-0.34470650089593713
000415.SZ,20080630,5.7,4767917.41,0.8655368712239115,-0.033,-0.0314,-0.38179536402225955
000415.SZ,20081231,4.22,17000894.54,3.052064326869545,-0.2864,-0.0015,-0.0642422687283537
000415.SZ,20090630,7.17,8418815.08,0.35259173253447207,-0.0633,0.0227,-0.016597891409037828
000415.SZ,20091231,8.92,17797389.61,0.8327132126142128,-0.2857,0.2427,0.13161139203469818
000415.SZ,20100630,7.86,8790197.82,-0.3978893582196882,-0.0427,-0.0636,-0.19580112062219474
000415.SZ,20101231,10.88,16896937.31,5.028383892596872,0.0101,0.3615,0.03555098426431901
000415.SZ,20110630,13.42,50130.27,-37.204158904471285,0.2387,0.382,0.04340232020230699
000415.SZ,20121231,6.57,323393317.76,-6.151641842759386,0.3876,-3.265,0.17232601696227579
000415.SZ,20131231,7.91,1486860000.0,-5.120336288817434,0.83,0.6883,-0.05053447305355471
000415.SZ,20140630,7.68,752432000.0,-17.552599195888618,0.2953,1.3116,-0.03455238150665984
000415.SZ,20141231,13.67,1504318000.0,-13.529880237682539,0.55,0.1409,0.07833726201714672
000415.SZ,20150630,9.46,1003198000.0,-6.8597427435493215,0.1776,0.0122,-1.011024154957695
000415.SZ,20151231,9.02,2179799000.0,-17.927930548626748,0.37,3.7023,0.007790801787768223
000415.SZ,20151231,9.02,2179799000.0,-24.043193059940855,0.37,3.7023,0.007790801787768223
000415.SZ,20170630,6.73,3866200000.0,-6.125990783622316,0.166,0.3962,0.040945825862125994
000415.SZ,20170630,6.73,3866200000.0,-8.840324207232461,0.166,0.3962,0.040945825862125994
000423.SZ,19981231,14.0,7506099.41,-1.1196094582125868,0.28,0.3428,0.02605067719994255
000423.SZ,20011231,11.36,16556265.4,0.9337402692653038,0.402,-0.1744,-0.013117809440786
000423.SZ,20021231,10.02,18980873.26,1.0994862718080494,0.319,-0.4026,-0.030469187474828477
000423.SZ,20031231,8.01,15854930.88,0.012553318296929496,0.36,-0.1102,-0.03797149375284941
000423.SZ,20041231,8.1,20459625.45,-0.280885085301207,0.32,0.355,-0.011049836186584935
000423.SZ,20050630,6.52,11731190.29,-0.1110161621489039,0.13,0.0904,-0.20206403552315585
000423.SZ,20060331,5.15,5934535.84,-0.3798691533857149,0.0718,0.0521,-0.03996726040706587
000423.SZ,20060630,11.17,13037792.93,1.8915092160778828,0.15,0.3087,0.09084389279088403
000423.SZ,20080630,25.8,12981181.89,0.7553659609084775,0.23,-0.0326,-0.11692133805890229
000423.SZ,20081231,13.5,28805920.11,0.8831592605970212,0.5479999999999999,0.2298,-0.042065665285512525
000423.SZ,20090630,17.94,14950807.19,-0.4477779362002951,0.3032,0.636,0.059127693720161224
000423.SZ,20091231,26.15,38707621.32,-1.945084082735837,0.6784,1.9496,0.09837414236984637
000423.SZ,20100630,34.76,19642396.3,1.880129949682078,0.4665,-0.6527,-0.06488009110430827
000423.SZ,20101231,51.1,40633435.62,0.9030410997751476,0.8902,-1.2838,0.02576951317905161
000423.SZ,20110630,41.26,21566677.59,0.14608408530148834,0.6873,0.8681,-0.04362948946659646
000423.SZ,20121231,40.41,45188362.43,0.16810738428287592,1.5905,1.8119,0.07473634611401708
000423.SZ,20131231,39.56,45576822.12,0.5827020278746254,1.8392,-1.1831,-0.0379462761408071
000423.SZ,20140630,33.32,25954266.84,0.037366719162932105,0.9502,-0.2753,0.05648778218570875
000423.SZ,20141231,37.28,61405156.16,0.2584362802683067,2.0879,0.9724,0.06970204379762031
000423.SZ,20150630,54.5,40000291.93,-0.030193704321420618,1.1806,-1.8154,-0.06206988021915085
000423.SZ,20151231,52.3,81713001.84,0.32264420213486683,2.4847,-1.3627,0.122070416027698
000423.SZ,20160630,52.83,44260157.78,0.6050356802263176,1.2675,-0.2616,0.13042651277285505
000423.SZ,20170630,71.89,45052187.1,0.7319057341963847,1.3783,0.2877,0.06716635069882049
000425.SZ,19981231,9.46,23438497.32,0.008243938845395565,0.336,-0.1072,-0.0956944995630905
000425.SZ,20011231,18.78,35338317.89,-1.4240027189363422,0.19,0.3986,0.07230734963415177
000425.SZ,20021231,19.21,41579659.16,0.3418714586375648,0.22,-0.0177,-0.010872486082713574
